"","nF","AUCROC","AUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",1,0.738745651661746,0.158722026116461,0.695409429280397,0.660082682590721,0.768863419293219,0.621141975308642,0.402082980812419,0.521035598705502
"2",2,0.873120875138583,0.690670569724716,0.805521091811414,0.862655029857602,0.686723973256925,0.69636803874092,0.553474949447558,0.706286836935167
"3",3,0.928648205889567,0.765473923072108,0.859181141439206,0.866329811667432,0.844317096466094,0.795679567956796,0.691459127304254,0.752340425531915
"4",4,0.960435331781115,0.824041846750021,0.889888337468983,0.892512632062471,0.884431709646609,0.839148164929769,0.758068799633497,0.798275862068966
"5",5,0.956068896016749,0.8730061800442,0.878411910669975,0.876435461644465,0.882521489971347,0.825,0.736113046529094,0.774518021793797
"6",6,0.952039402997123,0.893186380011798,0.881203473945409,0.879650895728066,0.884431709646609,0.828635346756152,0.741729857032354,0.779461279461279
"7",7,0.946100129029768,0.896370946945467,0.866935483870968,0.865411116214975,0.870105062082139,0.809418036428254,0.712042402737451,0.756644518272425
"8",8,0.938942289341685,0.884461922405876,0.860732009925558,0.855764813964171,0.871060171919771,0.802463704355477,0.701115271424495,0.743882544861338
"9",9,0.938883280488602,0.881512605740937,0.861042183622829,0.861736334405145,0.859598853868195,0.800711743772242,0.698666996782732,0.749375520399667
"10",10,0.93602233825103,0.876458604990148,0.852977667493797,0.851171336701883,0.856733524355301,0.791005291005291,0.683406560062939,0.734643734643735
"11",11,0.933670319950828,0.871565661027972,0.854838709677419,0.84887459807074,0.867239732569245,0.795096322241681,0.689606167195471,0.734033953112369
"12",12,0.932407004021815,0.865872138900215,0.85514888337469,0.853468075333027,0.858643744030564,0.793818984547461,0.687799159789155,0.738095238095238
"13",13,0.930493055162529,0.868690452154141,0.850186104218362,0.845199816260909,0.860553963705826,0.788621444201313,0.679525601740747,0.727786752827141
"14",14,0.925698640690487,0.853435990047643,0.850496277915633,0.849333945796968,0.852913085004776,0.787477954144621,0.677944529040131,0.731367731367731
