"","actual","predicted"
"1",2,1
"2",2,1
"3",1,2
"4",2,1
"5",1,2
"6",2,1
"7",1,2
"8",1,2
"9",1,2
"10",2,1
"11",2,1
"12",1,2
"13",1,2
"14",1,2
"15",2,1
"16",1,2
"17",2,1
"18",2,1
"19",1,2
"20",1,2
"21",1,2
"22",1,2
"23",1,2
"24",1,2
"25",1,2
"26",1,2
"27",2,1
"28",2,1
"29",1,2
"30",1,2
"31",1,2
"32",2,1
"33",2,1
"34",1,2
"35",2,1
"36",2,1
"37",1,2
"38",1,2
"39",2,1
"40",2,1
"41",1,2
"42",1,2
"43",1,2
"44",2,1
"45",1,2
"46",1,2
"47",1,2
"48",2,1
"49",1,2
"50",1,2
"51",1,2
"52",1,2
"53",2,1
"54",2,1
"55",2,1
"56",2,1
"57",1,2
"58",1,2
"59",2,1
"60",1,2
"61",2,1
"62",2,1
"63",2,1
"64",1,2
"65",1,2
"66",2,1
"67",1,2
"68",2,1
"69",2,1
"70",1,2
"71",1,2
"72",1,2
"73",1,2
"74",2,1
"75",1,2
"76",1,2
"77",1,2
"78",2,1
"79",2,1
"80",1,2
"81",1,2
"82",1,2
"83",1,2
"84",2,1
"85",1,2
"86",1,2
"87",1,2
"88",1,2
"89",2,1
"90",1,2
"91",1,2
"92",2,1
"93",1,2
"94",1,2
"95",1,2
"96",1,2
"97",1,2
"98",1,2
"99",1,2
"100",1,2
"101",1,2
"102",1,2
"103",1,2
"104",1,2
"105",2,1
"106",2,1
"107",2,1
"108",1,2
"109",2,1
"110",1,2
"111",1,2
"112",1,2
"113",1,2
"114",1,2
"115",2,1
"116",1,2
"117",1,2
"118",2,1
"119",1,2
"120",1,2
"121",1,2
"122",2,1
"123",1,2
"124",2,1
"125",1,2
"126",2,1
"127",1,2
"128",2,1
"129",1,2
"130",2,1
"131",1,2
"132",1,2
"133",1,2
"134",1,2
"135",1,2
"136",1,2
"137",1,2
"138",1,2
"139",1,2
"140",1,2
"141",2,1
"142",1,2
"143",1,2
"144",1,2
"145",2,1
"146",2,1
"147",1,2
"148",1,2
"149",2,1
"150",1,2
"151",1,2
"152",2,1
"153",1,2
"154",1,2
"155",1,2
"156",2,1
"157",1,2
"158",1,2
"159",1,2
"160",2,1
"161",1,2
"162",2,1
"163",1,2
"164",1,2
"165",1,2
"166",2,1
"167",1,2
"168",1,2
"169",1,2
"170",2,1
"171",2,1
"172",2,1
"173",1,2
"174",2,1
"175",1,2
"176",1,2
"177",1,2
"178",1,2
"179",1,2
"180",2,1
"181",1,2
"182",1,2
"183",2,1
"184",2,1
"185",1,2
"186",1,2
"187",2,1
"188",1,2
"189",1,2
"190",1,2
"191",2,1
"192",1,2
"193",2,1
"194",1,2
"195",1,2
"196",1,2
"197",2,1
"198",1,2
"199",2,1
"200",1,2
"201",1,2
"202",1,2
"203",1,2
"204",1,2
"205",1,2
"206",1,2
"207",1,2
"208",2,1
"209",1,2
"210",1,2
"211",2,1
"212",1,2
"213",1,2
"214",1,2
"215",2,1
"216",1,2
"217",1,2
"218",1,2
"219",2,1
"220",1,2
"221",1,2
"222",1,2
"223",2,1
"224",2,1
"225",1,2
"226",1,2
"227",1,2
"228",1,2
"229",2,1
"230",1,2
"231",1,2
"232",1,2
"233",1,2
"234",1,2
"235",2,1
"236",2,1
"237",1,2
"238",1,2
"239",2,1
"240",2,1
"241",1,2
"242",1,2
"243",2,1
"244",2,1
"245",2,1
"246",2,1
"247",1,2
"248",1,2
"249",1,2
"250",2,1
"251",1,2
"252",2,1
"253",2,1
"254",1,2
"255",1,2
"256",1,2
"257",1,2
"258",1,2
"259",2,1
"260",1,2
"261",2,1
"262",1,2
"263",1,2
"264",1,2
"265",1,2
"266",2,1
"267",1,2
"268",2,1
"269",2,1
"270",1,2
"271",1,2
"272",1,2
"273",1,2
"274",2,1
"275",1,2
"276",1,2
"277",1,2
"278",2,1
"279",1,2
"280",2,1
"281",1,2
"282",1,2
"283",1,2
"284",2,1
"285",2,1
"286",1,2
"287",2,1
"288",2,1
"289",1,2
"290",2,1
"291",2,1
"292",1,2
"293",1,2
"294",1,2
"295",2,1
"296",2,1
"297",1,2
"298",1,2
"299",1,2
"300",2,1
"301",1,2
"302",1,2
"303",1,2
"304",1,2
"305",1,2
"306",1,2
"307",2,1
"308",1,2
"309",1,2
"310",1,2
"311",1,2
"312",2,1
"313",2,1
"314",1,2
"315",2,1
"316",2,1
"317",2,1
"318",2,1
"319",1,2
"320",1,2
"321",1,2
"322",2,1
"323",1,2
"324",1,2
"325",1,2
"326",1,2
"327",1,2
"328",2,1
"329",1,2
"330",1,2
"331",1,2
"332",1,2
"333",2,1
"334",1,2
"335",1,2
"336",1,2
"337",1,2
"338",1,2
"339",1,2
"340",1,2
"341",1,2
"342",2,1
"343",2,1
"344",2,1
"345",1,2
"346",2,1
"347",1,2
"348",2,1
"349",1,2
"350",1,2
"351",2,1
"352",1,2
"353",1,2
"354",2,1
"355",1,2
"356",1,2
"357",2,1
"358",2,1
"359",1,2
"360",1,2
"361",1,2
"362",2,1
"363",2,1
"364",1,2
"365",1,2
"366",2,1
