"","nF","AUCROC","AUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",1,0.728155427125383,0.47710550254801,0.732940446650124,0.819935691318328,0.552053486150907,0.573128408527516,0.379813185233149,0.595876288659794
"2",2,0.882526535337967,0.772998378657604,0.81606699751861,0.894809370693615,0.652340019102197,0.697294538029607,0.568875382514596,0.74890350877193
"3",3,0.931570350617882,0.84033534431336,0.867555831265509,0.914561322921452,0.76981852913085,0.790583619421285,0.694379418323662,0.8125
"4",4,0.963908518289893,0.909991722490389,0.910980148883375,0.942581534221406,0.845272206303725,0.860476421973748,0.79542394658287,0.876237623762376
"5",5,0.957772694388104,0.916797379749283,0.899813895781638,0.935691318327974,0.825214899713467,0.842515845928815,0.769467612672719,0.860557768924303
"6",6,0.954787811622682,0.913871908723621,0.893300248138958,0.932475884244373,0.811843361986628,0.831702544031311,0.754143716013691,0.852557673019057
"7",7,0.949140072100482,0.909255548720438,0.886476426799007,0.927423059255857,0.801337153772684,0.820939334637965,0.738379314950169,0.841524573721164
"8",8,0.943216153596754,0.897224049420259,0.884305210918114,0.925126320624713,0.799426934097421,0.817782120175867,0.733509048390877,0.837
"9",9,0.943948828575553,0.896411067967279,0.883064516129032,0.923748277446027,0.79847182425979,0.816007808687164,0.730745651014643,0.834331337325349
"10",10,0.941635418298184,0.890627307130714,0.877481389578164,0.921451538814883,0.786055396370583,0.806467417932386,0.717443380517134,0.827967806841046
"11",11,0.93855204120178,0.887322339336635,0.876550868486352,0.921910886541112,0.782234957020057,0.804518664047151,0.715036589541988,0.828109201213347
"12",12,0.936669680724813,0.882567963699614,0.876861042183623,0.920073495636197,0.787010506208214,0.805867970660147,0.716218798880533,0.82565130260521
"13",13,0.933606704458656,0.875750417895034,0.872208436724566,0.915939366100138,0.781279847182426,0.798828125,0.705643152826615,0.817182817182817
"14",14,0.931954675936102,0.871811990304437,0.872208436724566,0.916398713826367,0.780324737344795,0.798631476050831,0.705529589263978,0.817817817817818
