,Feature Size,AUC,AUCPR,Accuracy,Specificity,Sensitivity,F1,MCC,Precision
1,1,0.675279857,0.357842013,0.6075,0.571487775,0.680707666,0.533509409,0.237184882,0.438653637
2,2,0.762908962,0.591861368,0.730277778,0.811023622,0.566133109,0.580561555,0.382249653,0.595744681
3,3,0.827139641,0.678726808,0.7775,0.786987153,0.758213985,0.692041522,0.524820741,0.636492221
4,4,0.84118547,0.712649617,0.775555556,0.779941981,0.766638585,0.692541857,0.524444934,0.631505899
5,5,0.845686155,0.730665752,0.777222222,0.771653543,0.788542544,0.700074794,0.534858447,0.629455279
6,6,0.846142123,0.732753773,0.769444444,0.766680481,0.775063184,0.689138577,0.517448173,0.620364127
7,7,0.842868993,0.729840318,0.763888889,0.753418981,0.785172704,0.686809138,0.512323757,0.610347086
8,8,0.841515925,0.718318967,0.764444444,0.750518027,0.792754844,0.689377289,0.516085825,0.60985094
9,9,0.840111883,0.717493121,0.763055556,0.759220887,0.770850885,0.682072307,0.505650025,0.611631016
10,10,0.841207291,0.719092681,0.768055556,0.758806465,0.786857624,0.691083981,0.519554291,0.616094987
11,11,0.839383241,0.715509838,0.767222222,0.759635309,0.782645324,0.689169139,0.51666195,0.615639496
12,12,0.834199651,0.69617755,0.761666667,0.759220887,0.766638585,0.67961165,0.50187621,0.610328638
13,13,0.832300886,0.691857196,0.763611111,0.75549109,0.780117944,0.685164632,0.509980366,0.610817942
14,14,0.830726816,0.683712514,0.765,0.755076668,0.785172704,0.687822878,0.51407927,0.611950098
