"","Feature Size","AUC","ÄUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",1,0.659335328993257,0.238360725852292,0.626881720430107,0.602139037433155,0.677173913043478,0.544818539571491,0.262675206321212,0.455742501828822
"2",2,0.665147640083701,0.27586096594294,0.548387096774194,0.417112299465241,0.815217391304348,0.543478260869565,0.230488211079374,0.407608695652174
"3",3,0.66002557544757,0.186094031449013,0.517204301075269,0.368983957219251,0.818478260869565,0.527865404837014,0.19103904144357,0.389549922400414
"4",4,0.70766246221809,0.540914294962462,0.596057347670251,0.50855614973262,0.773913043478261,0.558212465699726,0.269474148287042,0.436541998773758
"5",5,0.731690013950244,0.549360967580014,0.645161290322581,0.585026737967914,0.767391304347826,0.587843463780183,0.332005193597306,0.47638326585695
"6",6,0.738680248779354,0.542764412672867,0.659856630824373,0.609090909090909,0.76304347826087,0.596685082872928,0.350026963984629,0.489881367759944
"7",7,0.705701871657754,0.522239707764754,0.601792114695341,0.506951871657754,0.794565217391304,0.568208317139526,0.288476200559496,0.442226255293406
"8",8,0.680807370378981,0.497926213311075,0.548387096774194,0.417112299465241,0.815217391304348,0.543478260869565,0.230488211079374,0.407608695652174
"9",9,0.719844512903975,0.532674945304052,0.615770609318996,0.529411764705882,0.791304347826087,0.575949367088608,0.305129175534776,0.45273631840796
"10",10,0.700896303185306,0.507954237363926,0.640501792114695,0.623529411764706,0.675,0.553229398663697,0.281044500022177,0.468679245283019
"11",11,0.689537607533132,0.499363385927182,0.617562724014337,0.589304812834225,0.675,0.537895192724123,0.248513277970086,0.447084233261339
"12",12,0.691564171122994,0.497826927124613,0.655913978494624,0.69572192513369,0.575,0.524281466798811,0.260517437200275,0.481785063752277
"13",13,0.69983899093234,0.516494901656628,0.688530465949821,0.75668449197861,0.55,0.538011695906433,0.303415655860234,0.526534859521332
"14",14,0.691948674726808,0.503935415528176,0.678136200716846,0.799465240641711,0.431521739130435,0.469267139479905,0.242735326598223,0.514248704663212
