"","FID","actual","predicted"
"1",525,2,1
"2",194,1,2
"3",2985,1,2
"4",1841,2,1
"5",3445,1,2
"6",664,1,2
"7",1626,1,2
"8",2756,2,1
"9",1672,1,2
"10",2537,2,1
"11",904,1,2
"12",308,1,2
"13",587,1,2
"14",293,1,2
"15",276,1,2
"16",3294,1,2
"17",2821,1,2
"18",3110,2,1
"19",3280,1,2
"20",373,1,2
"21",2081,1,2
"22",1331,1,2
"23",3229,1,2
"24",3145,2,1
"25",3249,1,2
"26",126,1,2
"27",2925,1,2
"28",1637,1,2
"29",2207,1,2
"30",2202,1,2
"31",2473,2,1
"32",2869,1,2
"33",2502,2,1
"34",1761,1,2
"35",3443,2,1
"36",3499,1,2
"37",343,1,2
"38",2224,1,2
"39",2680,2,1
"40",1325,1,2
"41",1451,1,2
"42",671,1,2
"43",2445,2,1
"44",2001,1,2
"45",2822,1,2
"46",3323,1,2
"47",457,2,1
"48",830,1,2
"49",1312,1,2
"50",778,1,2
"51",793,1,2
"52",3509,1,2
"53",278,1,2
"54",2693,2,1
"55",3200,1,2
"56",336,1,2
"57",3574,1,2
"58",1689,1,2
"59",2771,2,1
"60",2718,2,1
"61",2908,2,1
"62",2210,1,2
"63",1696,1,2
"64",3296,1,2
"65",647,2,1
"66",2604,1,2
"67",1705,1,2
"68",3205,1,2
"69",3004,2,1
"70",2494,1,2
"71",2868,1,2
"72",1491,1,2
"73",2469,2,1
"74",2595,1,2
"75",790,2,1
"76",1340,1,2
"77",1310,1,2
"78",604,2,1
"79",3523,1,2
"80",1260,2,1
"81",3101,1,2
"82",2421,2,1
"83",3277,1,2
"84",2444,2,1
"85",1737,2,1
"86",2450,2,1
"87",30,1,2
"88",3481,1,2
"89",3288,1,2
"90",2362,1,2
"91",1888,2,1
"92",1783,2,1
"93",3119,2,1
"94",1324,1,2
"95",2449,2,1
"96",1885,2,1
"97",23,1,2
"98",2726,1,2
"99",548,2,1
"100",1638,1,2
"101",669,1,2
"102",310,1,2
"103",2893,1,2
"104",1861,1,2
"105",1556,2,1
"106",3544,1,2
"107",2724,2,1
