"","actual","predicted"
"1",2,1
"2",2,1
"3",1,2
"4",1,2
"5",1,2
"6",1,2
"7",1,2
"8",1,2
"9",2,1
"10",1,2
"11",2,1
"12",1,2
"13",1,2
"14",1,2
"15",1,2
"16",1,2
"17",1,2
"18",1,2
"19",2,1
"20",1,2
"21",1,2
"22",2,1
"23",2,1
"24",1,2
"25",1,2
"26",1,2
"27",1,2
"28",1,2
"29",1,2
"30",1,2
"31",1,2
"32",1,2
"33",1,2
"34",1,2
"35",2,1
"36",1,2
"37",1,2
"38",1,2
"39",1,2
"40",2,1
"41",2,1
"42",1,2
"43",1,2
"44",2,1
"45",1,2
"46",1,2
"47",1,2
"48",1,2
"49",1,2
"50",2,1
"51",1,2
"52",2,1
"53",2,1
"54",2,1
"55",1,2
"56",2,1
"57",1,2
"58",1,2
"59",1,2
"60",2,1
"61",1,2
"62",2,1
"63",2,1
"64",1,2
"65",1,2
"66",1,2
"67",2,1
"68",1,2
"69",2,1
"70",1,2
"71",1,2
"72",1,2
"73",2,1
"74",1,2
"75",2,1
"76",1,2
"77",1,2
"78",1,2
"79",2,1
"80",1,2
"81",1,2
"82",1,2
"83",1,2
"84",1,2
"85",2,1
"86",1,2
"87",2,1
"88",1,2
"89",1,2
"90",1,2
"91",2,1
"92",1,2
"93",1,2
"94",1,2
"95",1,2
"96",1,2
"97",2,1
"98",1,2
"99",1,2
"100",2,1
"101",1,2
"102",1,2
"103",1,2
"104",1,2
"105",1,2
"106",1,2
"107",1,2
"108",2,1
"109",2,1
"110",2,1
"111",2,1
"112",1,2
"113",1,2
"114",1,2
"115",2,1
"116",1,2
"117",1,2
"118",2,1
"119",1,2
"120",1,2
"121",1,2
"122",2,1
"123",1,2
"124",1,2
"125",1,2
"126",1,2
"127",2,1
"128",1,2
"129",2,1
"130",1,2
"131",2,1
"132",2,1
"133",1,2
"134",1,2
"135",1,2
"136",1,2
"137",1,2
"138",1,2
"139",1,2
"140",1,2
"141",1,2
"142",1,2
"143",1,2
"144",2,1
"145",1,2
"146",1,2
"147",1,2
"148",1,2
"149",2,1
"150",2,1
"151",2,1
"152",2,1
"153",1,2
"154",1,2
"155",2,1
"156",1,2
"157",2,1
"158",1,2
"159",1,2
"160",1,2
"161",1,2
"162",1,2
"163",2,1
"164",1,2
"165",1,2
"166",1,2
"167",2,1
"168",1,2
"169",2,1
"170",2,1
"171",1,2
"172",1,2
"173",1,2
"174",2,1
"175",1,2
"176",1,2
"177",1,2
"178",2,1
"179",2,1
"180",2,1
"181",2,1
"182",1,2
"183",1,2
"184",2,1
"185",1,2
"186",1,2
"187",1,2
"188",1,2
"189",1,2
"190",2,1
"191",1,2
"192",1,2
"193",1,2
"194",2,1
"195",2,1
"196",1,2
"197",1,2
"198",1,2
"199",1,2
"200",1,2
"201",2,1
"202",2,1
"203",2,1
"204",1,2
"205",1,2
"206",1,2
"207",1,2
"208",1,2
"209",2,1
"210",1,2
"211",1,2
"212",2,1
"213",2,1
"214",1,2
"215",1,2
"216",2,1
"217",1,2
"218",1,2
"219",1,2
"220",1,2
"221",1,2
"222",2,1
"223",1,2
"224",2,1
"225",1,2
"226",1,2
"227",1,2
"228",1,2
"229",1,2
"230",1,2
"231",1,2
"232",2,1
"233",1,2
"234",1,2
"235",2,1
"236",1,2
"237",1,2
"238",2,1
"239",2,1
"240",1,2
"241",1,2
"242",1,2
"243",1,2
"244",2,1
"245",1,2
"246",1,2
"247",1,2
"248",2,1
"249",1,2
"250",2,1
"251",1,2
"252",1,2
"253",1,2
"254",1,2
"255",1,2
"256",1,2
"257",1,2
"258",1,2
"259",1,2
"260",1,2
"261",1,2
"262",2,1
"263",2,1
"264",1,2
"265",1,2
"266",1,2
"267",2,1
"268",2,1
"269",1,2
"270",1,2
"271",1,2
"272",1,2
"273",2,1
"274",2,1
"275",2,1
"276",1,2
"277",1,2
"278",2,1
"279",1,2
"280",2,1
"281",2,1
"282",1,2
"283",2,1
"284",2,1
"285",1,2
"286",1,2
"287",1,2
"288",2,1
"289",1,2
"290",2,1
"291",1,2
"292",2,1
"293",1,2
"294",1,2
"295",1,2
"296",1,2
"297",1,2
"298",1,2
"299",2,1
"300",2,1
"301",1,2
"302",1,2
"303",1,2
"304",2,1
"305",2,1
"306",1,2
"307",2,1
"308",1,2
"309",1,2
"310",1,2
"311",1,2
"312",2,1
"313",2,1
"314",1,2
"315",2,1
"316",2,1
"317",1,2
"318",2,1
"319",2,1
"320",1,2
"321",1,2
"322",1,2
"323",2,1
"324",1,2
"325",1,2
"326",2,1
"327",1,2
"328",2,1
"329",1,2
"330",1,2
"331",1,2
"332",1,2
"333",1,2
"334",1,2
"335",1,2
"336",2,1
"337",1,2
"338",1,2
"339",1,2
"340",1,2
"341",2,1
"342",2,1
"343",1,2
"344",2,1
"345",1,2
"346",1,2
"347",1,2
"348",1,2
"349",1,2
"350",1,2
"351",1,2
"352",1,2
"353",1,2
"354",1,2
"355",1,2
"356",1,2
"357",2,1
"358",1,2
"359",2,1
"360",1,2
"361",1,2
"362",1,2
"363",1,2
"364",1,2
"365",1,2
"366",2,1
"367",1,2
"368",1,2
"369",1,2
"370",1,2
"371",1,2
"372",1,2
"373",1,2
"374",1,2
"375",2,1
"376",2,1
"377",1,2
"378",2,1
"379",1,2
"380",2,1
"381",1,2
"382",2,1
"383",1,2
"384",1,2
"385",2,1
"386",1,2
"387",1,2
"388",1,2
"389",2,1
"390",2,1
"391",1,2
"392",1,2
"393",1,2
"394",2,1
"395",2,1
"396",1,2
"397",1,2
"398",1,2
"399",2,1
"400",1,2
"401",2,1
"402",2,1
"403",1,2
"404",2,1
