"","FID","Shape *","Serial","Lat","Long","GWL18","Type","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","SPI1","STI1","TWI1","TRI","Sy"
"1",18,"Point",19,24.9753,90.484,6.5,"BADC",161.565,-0.108158,0.139488,15,3306.54,6,0,0.108158,0.744795,6.967606,12.263293,11.353083,11.6619,0.060038
"2",19,"Point",20,24.9696,90.4214,6.5,"BADC",135,0,0.129343,16,2241.78,6,0,0,0.333097,4.689982,1.958954,10.411777,12,0.067077
"3",25,"Point",26,24.8895,90.4715,6.5,"BADC",153.435,-0.108158,0.086179,14,3661.97,6,0,0.108158,1.05324,5.461828,6.177608,9.224769,7.74597,0.071021
"4",26,"Point",27,24.8627,90.2892,5.95,"BADC",270,0.648945,0.072602,16,210,14,0,-0.648945,7.49418,5.480577,3.022029,5.46816,15.5885,0.086087
"5",29,"Point",30,24.847,90.5415,5.35,"BADC",-1,0,0.087897,13,3354.1,5,0,0,0,1.144731,0.083679,9.798127,5.19615,0.069981
"6",30,"Point",31,24.8352,90.3659,6.2,"BADC",-1,0,0.062633,18,4636.43,6,0,0,0,2.531025,0.192243,11.184421,12.3288,0.081
"7",33,"Point",34,24.8116,90.6111,5.55,"BADC",135,0,0.066671,15,2596,16,0,0,0.333097,1.917393,0.371152,7.639188,10.9545,0.071629
"8",42,"Point",43,24.7416,90.6304,5.1,"BADC",18.4349,-0.108158,0.042049,13,180,16,0,0.108158,0.744795,3.278726,1.340822,7.664203,13.8564,0.076679
"9",46,"Point",47,24.7017,90.4797,5.2,"BADC",239.036,0.108158,0.077392,19,997.246,14,0.064894,-0.043263,1.37315,3.141791,1.82245,6.414992,12.3288,0.079486
"10",49,"Point",50,24.707,90.4376,6.2,"BADC",-1,0,0.079783,15,1548.71,14,0,0,0,6.882915,2.617288,15.536311,11.6619,0.077865
"11",52,"Point",53,24.6934,90.6851,6.2,"BADC",-1,0,0.058803,13,7385.24,16,0,0,0,2.531025,0.192243,11.184421,10.9545,0.074543
"12",90,"Point",91,24.5203,90.3217,13.3,"BADC",-1,0,0.110679,13,1629.97,6,0,0,0,5.178972,0.94155,13.832368,7.48331,0.050513
