"","DISTRICT","UPAZILLA","UNION","MOUZA","RL","LATITUDE","LONGITUDE","GWL04","GWL05","GWL06","GWL07","GWL08","GWL09","GWL10","GWL11","GWL12","GWL13","GWL14","GWL15","GWL16","GWL17","GWL18","Type","Median","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","lithology","Plan_curvature","Profile_curvature","Slope","SPI","STI","TWI","TRI","SoilSy","FID"
"1","Cox's Bazar","Teknaf","St. Martin",NA,NA,20.65,92.37,NA,NA,2.7432,NA,3.3528,3.6576,NA,NA,3.724656,3.9624,NA,NA,NA,2.4384,NA,"DPHE",3.5052,0,0,0,0,0,0,0,0,0,0.451583720681576,0.0552073035815575,9.10497985631836,0,0,1
"2","Cox's Bazar","Teknaf","Sabrang",NA,NA,20.825,92.32,NA,NA,3.9624,NA,4.2672,5.7912,NA,NA,6.041136,6.096,NA,NA,NA,4.572,NA,"DPHE",5.1816,63.4349,-0.324473,0,2,1575.5,15,-0.173052,0.151421,1.05324,6.03237244249936,8.69943422484639,9.79531360698202,0,0.0474476,2
"3","Cox's Bazar","Teknaf","Teknaf",NA,NA,20.855,92.292,NA,NA,6.4008,NA,7.62,7.9248,NA,NA,8.2296,8.2296,NA,NA,NA,5.4864,NA,"DPHE",7.7724,275.194,-0.108158,0,8,3454.1,15,0,0.108158,2.59982,4.44124058828765,6.06933526003283,6.50235683976296,0,0.0474655,3
"4",NA,NA,NA,"CT005",NA,20.9,92.25,5.7,5.275,5.615,5.7,5.015,5.335,NA,4.69,5.98,NA,NA,NA,NA,NA,NA,"BWDB",5.475,203.629,-0.757103,0,20,1613.1,15,-0.26669,0.490413,8.17114,7.646509315277,90.2280356800472,7.46221113838653,0,0.0476833,4
"5",NA,NA,NA,"CT053",NA,20.96,92.24,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWDB",2.07,350.538,0.973418,0,26,3642.2,15,0.410253,-0.563165,5.71189,4.51751167150769,10.8303100595041,5.04248894415464,54.7083,0.0474986,5
"6",NA,NA,NA,"CT031",NA,21.02,92.22,1.045,1.165,1.095,1.93,0.83,1.01,1.615,1.02,0.12,0.58,1.41,1.065,1.35,1.365,NA,"BWDB",1.08,97.5946,-0.540788,0,22,3754.4,2,-0.367327,0.17346,7.09223,7.21734755646413,63.3789019976047,7.31430013647659,40.9878,0.0475219,6
"7","Cox's Bazar","Teknaf","Nhila",NA,NA,21.05,92.255,NA,NA,4.8768,NA,5.1816,5.7912,NA,NA,6.041136,5.1816,NA,NA,NA,5.7912,NA,"DPHE",5.4864,116.565,-0.108158,0,0,1211.3,15,0,0.108158,1.05324,2.89687822657021,1.32572762859029,6.65981939105287,5,0,7
"8","Cox's Bazar","Teknaf","Bahar chhar",NA,NA,21.06,92.169,NA,NA,3.3528,NA,3.9624,4.8768,NA,NA,5.1816,5.1816,NA,NA,NA,3.3528,NA,"DPHE",4.4196,153.435,-0.108158,0,26,2478.4,15,0,0.108158,1.05324,7.0240126116153,15.7720926982029,10.786953776098,31.225,0.0475146,8
"9","Cox's Bazar","Ukhiya","Whyekong",NA,NA,21.116,92.17,NA,NA,3.9624,NA,8.5344,7.9248,NA,NA,5.7912,4.2672,NA,NA,NA,NA,NA,"DPHE",5.7912,14.0362,0.216315,0,11,3515.05,23,0,-0.216315,1.94155,3.4683004546366,2.78500113616224,6.08868544005149,23.4734,0.0475461,9
"10","Cox's Bazar","Ukhiya","Palong Khali",NA,NA,21.165,92.151,NA,NA,5.4864,NA,5.1816,4.2672,NA,NA,4.2672,3.9624,NA,NA,NA,10.668,NA,"DPHE",4.7244,9.46232,0.216315,0.00140326,11,2765.08,23,0.108158,-0.108158,2.86306,3.84128235883919,4.51863977544739,5.71617224519103,14.4222,0.0475502,10
"11","Cox's Bazar","Ukhiya","Raja Palong",NA,NA,21.24,92.112,NA,NA,4.8768,NA,4.8768,6.096,NA,NA,6.096,6.096,NA,NA,NA,9.144,NA,"DPHE",6.096,285.255,0.108158,0.00631613,16,6174.83,23,0,-0.108158,2.68358,4.87730514705958,8.05438310234519,6.87726918297004,19.4936,0.0475515,11
"12","Cox's Bazar","Chagalnaiya","Ratna Palong",NA,NA,21.262,92.137,NA,NA,7.3152,NA,6.096,6.7056,NA,NA,6.7056,6.4008,NA,NA,NA,NA,NA,"DPHE",6.7056,135,0.216315,0.00631613,13,6241.87,22,0.108158,-0.108158,0.666172,2.48787881486252,0.779119646652767,7.06874335469094,12.9615,0.04758,12
"13","Bandarban","Naikhongchhari","Ghumghum",NA,NA,21.28,92.235,NA,4.572,4.572,NA,4.572,4.572,NA,NA,4.315968,NA,4.572,NA,NA,4.2672,NA,"DPHE",4.572,178.603,1.18973,0.00945142,67,10383.5,23,0.598047,-0.591685,9.56993,5.03274715873959,20.9104961250973,4.53337369276845,96.871,0.0476449,13
"14","Cox's Bazar","Ukhiya","Holudia Palong",NA,NA,21.296,92.122,NA,NA,8.5344,NA,7.3152,8.2296,NA,NA,6.7056,5.7912,NA,NA,NA,13.716,NA,"DPHE",7.7724,45,0,0.0139953,13,3950.56,22,0,0,0.999202,4.45831286740592,3.27148516293324,8.31724821376902,17.8885,0.0475978,14
"15","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.63,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,3.68279,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,15
"16","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.12,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,4.10797,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,16
"17","Cox'S Bazar","Ramu","Khuniapalong","Dhechua Palong",866.5425,21.32628,92.08304,8.92,NA,NA,NA,NA,NA,2.35,2.5,2.75,2.9,NA,NA,NA,4.28692,NA,"BADC",2.825,333.435,-0.108158,0.0277609,9,3488.27,23,0,0.108158,1.05324,6.65807834226378,12.6629642436541,10.4210195067464,15,0.0475741,17
"18","Cox's Bazar","Ramu","Rajar Kul",NA,NA,21.383,92.118,NA,NA,4.2672,NA,3.9624,5.1816,NA,NA,3.224784,NA,5.7912,NA,NA,5.7912,NA,"DPHE",4.7244,90,0,0.0534219,27,5287.92,26,0,0,0.471065,3.58024303320302,1.2215596427623,8.74894136487255,24.0832,0.0476198,19
"19",NA,NA,NA,"CT030",NA,21.39,92.08,4.975,5.16,6.895,5.79,8.425,6.16,5.275,7.34,5.19,4.84,4.86,4.235,NA,3.535,NA,"BWDB",5.19,296.565,0.216315,0.0636127,21,5920.35,26,0.0540788,-0.162236,2.10577,3.5457386541843,3.07953857504538,6.01131810903464,25.5147,0.0475748,20
"20","Cox's Bazar","Ramu","Fatekhir Kul",NA,NA,21.412,92.12,NA,NA,3.9624,NA,3.9624,4.8768,NA,NA,NA,NA,5.7912,NA,NA,4.8768,NA,"DPHE",4.8768,225,0.108158,0.0705358,19,2087.53,17,0.0158279,-0.0923296,5.64439,4.50574999567047,10.6676253661785,5.05417103694735,20.8567,0.0476463,21
"21","Cox's Bazar","Kutubdia","Zilanja",NA,NA,21.419,92.005,NA,2.4384,3.6576,NA,3.3528,3.6576,NA,NA,3.685032,NA,3.9624,NA,NA,3.9624,NA,"DPHE",3.6576,62.7447,0.973418,0.068242,40,6953.01,15,0.326137,-0.647281,8.67657,4.9341179505677,18.4548046921476,4.63030909259727,41.3642,0.047469,23
"22",NA,NA,NA,"CT001",NA,21.42,92.04,3.33,3.5,3.73,3.47,3.54,3.37,3.815,3.62,3.37,3.68,3.785,NA,NA,3.665,4.12,"BWDB",3.62,-1,0,0.0756357,5,4015.3,23,0,0,0,0.451583720681576,0.0552073035815575,9.10497985631836,6.245,0.047535,24
"23",NA,NA,NA,"CT033",NA,21.42,92.1,1.86,2.03,2.84,2.13,2.14,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWDB",2.08,161.565,-0.108158,0.0780084,4,2299.65,17,0,0.108158,0.744795,7.22996988280321,14.3540053791406,11.6154469470739,8.06226,0.0476139,25
