"Bore","Latitude","Longitude","Total_Dept","Elevation","Aspect","Curvature","Drainage_density","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","Sy","TRI","SPI1","STI1","TWI1","response6","response4"
1,22.11473,90.21885,366,7,-1,0,0.0805653,1866.76,1,0,0,0,0.0312413,7.48331,4.7193995898974,14.0341786995632,4.84229997927704,"1","1"
2,22.03619,90.24108,380,6,225,0,0.0843882,10279.5,10,0,0,0.333097,0.0313387,5.2915,6.86882995854719,45.904856201261,7.29669108513909,"1","1"
3,22.07492,90.23367,371,9,284.036,0.540788,0.087667,6277.53,10,0.302841,-0.237947,1.94155,0.0313184,6.7082,4.97090051325742,19.3363722671255,4.59412034980151,"1","1"
4,22.10798,90.25462,366,7,78.6901,0.43263,0.0951169,5073.55,10,0.189276,-0.243354,1.20084,0.0312956,7.48331,4.7193995898974,14.0341786995632,4.84229997927704,"1","1"
5,22.1025,90.199167,294,8,33.6901,0.108158,0.0740185,2310,10,0.086526,-0.0216315,1.69799,0.0311637,7.48331,4.85272508601115,16.6396992358155,4.71053070164592,"1","1"
6,22.08426,90.2159,298.704,6,-1,0,0.078258,4573.01,10,0,0,0,0.0312463,7.48331,7.05115151534115,51.2114861185451,7.47901264193305,"1","1"
7,22.24091,90.32484,277.354465,6,45,0,0.124044,6147.58,10,0,0,0.333097,0.0314562,6.7082,6.17568277798725,30.285910450228,6.60354390457915,"1","1"
8,21.95227,90.05715,301.752,7,8.1301,-0.108158,0.0583206,2791.45,10,-0.0648945,0.043263,1.66504,0.0303772,7.48331,5.41254677045734,21.2718371522953,5.53544715983699,"1","1"
9,22.2289,90.28683,288.021945,6,-1,0,0.117272,4215.83,10,0,0,0,0.0313574,5.2915,5.66485715422126,22.2910940438656,6.09271828081315,"1","1"
10,22.18338,90.25126,295.656,11,90,0.108158,0.085172,2100,1,0,-0.108158,0.942067,0.0313102,10.3923,5.1737342749856,24.9678197657918,4.39544965500602,"1","1"
11,22.1291,90.30199,298.689424,6,90,-0.108158,0.105625,240,10,0,0.108158,0.942067,0.031463,8.66025,6.86882995854719,45.904856201261,7.29669108513909,"1","1"
12,22.13139,90.29298,298.704,6,45,0,0.106739,1092.02,10,0,0,1.9978,0.031463,6.245,4.56624486555315,11.5307785432346,4.99410599214505,"1","1"
13,22.04446,90.19208,295.641573,6,329.036,-0.108158,0.0598236,7351.53,10,-0.0332792,0.0748783,2.74472,0.0311319,8.66025,5.25939204611309,17.4773920627433,5.68725317270499,"1","1"
14,22.02843,90.15503,298.704,5,-1,0,0.0623593,3853.34,10,0,0,0,0.0308773,6.245,7.4305767022095,56.8098824229499,8.21767666131745,"1","1"
15,22.23218,90.3054,283.450168,6,-1,0,0.12082,5048.74,10,0,0,0,0.0314367,6.7082,6.64568640723298,40.152503024223,7.07354753382488,"1","1"
16,22.21501,90.31382,289.56,6,-1,0,0.102747,7025.51,10,0,0,0,0.0315018,3.60555,6.64568640723298,40.152503024223,7.07354753382488,"1","1"
17,22.05456,90.14408,286.498019,5,-1,0,0.0735995,2684.12,10,0,0,0,0.030817,7.48331,5.99549217692017,24.014542437496,6.78259213602813,"1","1"
18,22.30082,90.09699,249.936,6,-1,0,0.0828676,750,10,0,0,0,0.0301858,11.5326,11.826767463643,899.045292444203,12.2546285902349,"1","1"
19,22.28286,90.03472,140.208,6,-1,0,0.061973,5943.71,5,0,0,0,0.0299574,9.21954,5.66485715422126,22.2910940438656,6.09271828081315,"1","1"
