"","nF","AUCROC","AUCPR","Accuracy","Specificity","Sensitivity","F1","MCC","Precision"
"1",1,0.762183353887718,0.547176360227027,0.723325062034739,0.843821773082223,0.472779369627507,0.526036131774708,0.338425999928788,0.592814371257485
"2",2,0.86480852394948,0.73143176291012,0.803660049627792,0.884244372990354,0.636103151862464,0.677862595419847,0.539939445713881,0.725490196078431
"3",3,0.880752759925222,0.759991152712814,0.810173697270472,0.921451538814883,0.578796561604584,0.664473684210526,0.547722408810788,0.77992277992278
"4",4,0.894222353255499,0.775915525080336,0.821029776674938,0.920073495636197,0.615090735434575,0.690616621983914,0.575923991759128,0.787286063569682
"5",5,0.897141207527337,0.776915329109329,0.826923076923077,0.920532843362425,0.632282712511939,0.703506907545165,0.590923821915884,0.792814371257485
"6",6,0.89611019782663,0.773774983581006,0.824751861042184,0.925126320624713,0.616045845272206,0.695417789757412,0.58476835350222,0.798267326732673
"7",7,0.89365902710415,0.772203126636896,0.822890818858561,0.926504363803399,0.607449856733524,0.69017905588714,0.579863408369593,0.798994974874372
"8",8,0.891710199406051,0.771131713727073,0.821650124069479,0.925585668350942,0.605539637058262,0.688008681497558,0.57679126415787,0.796482412060301
"9",9,0.889130920244156,0.769088731710667,0.820719602977667,0.928341754708314,0.59694364851958,0.683807439824945,0.574130524794046,0.800256081946223
"10",10,0.886214698337537,0.765368576958508,0.817617866004963,0.927882406982085,0.588347659980898,0.676923076923077,0.566219013109733,0.796895213454075
"11",11,0.883975871740633,0.763129631475749,0.814516129032258,0.926504363803399,0.581661891117478,0.670704845814978,0.558366635055507,0.791937581274382
"12",12,0.882541232710296,0.758827756281107,0.812034739454094,0.927882406982085,0.571155682903534,0.663706992230855,0.551826089856898,0.79205298013245
"13",13,0.879816734735244,0.755244441185368,0.809553349875931,0.926504363803399,0.566380133715377,0.658888888888889,0.545523989177484,0.787516600265604
"14",14,0.877265534135411,0.754235275090082,0.80893300248139,0.926963711529628,0.563514804202483,0.657015590200445,0.543868660112075,0.787716955941255
