,Feature Size,AUC,AUCPR,Accuracy,Specificity,Sensitivity,F1,MCC,Precision
1,1,0.799620097,0.129607531,0.761748634,0.724232456,0.836047774,0.701914312,0.530492714,0.604870385
2,2,0.951588603,0.66137924,0.897632058,0.911732456,0.86970684,0.850770048,0.773346762,0.832640333
3,3,0.983802348,0.70667178,0.94571949,0.952302632,0.932681868,0.920192823,0.879258846,0.908033827
4,4,0.986364697,0.626616051,0.943169399,0.948464912,0.932681868,0.916755603,0.873926759,0.901364113
5,5,0.991879298,0.733335792,0.962477231,0.964364035,0.958740499,0.944890316,0.916673991,0.931434599
6,6,0.99138552,0.820985376,0.959562842,0.962171053,0.954397394,0.940609952,0.910183435,0.92721519
7,7,0.992292119,0.900510405,0.961384335,0.965460526,0.953311618,0.943071966,0.913980591,0.933049947
8,8,0.992570111,0.941894338,0.961384335,0.966008772,0.952225841,0.943010753,0.913911669,0.933972311
9,9,0.992657616,0.875136532,0.964663024,0.970942982,0.952225841,0.947595894,0.920965948,0.943010753
10,10,0.992452247,0.917927781,0.961020036,0.965460526,0.952225841,0.94250403,0.913132883,0.932978723
11,11,0.992100144,0.933952907,0.959198543,0.966008772,0.945711183,0.939590076,0.908832343,0.933547696
12,12,0.991834355,0.960702397,0.958469945,0.963815789,0.947882736,0.938709677,0.907406353,0.92971246
13,13,0.991503681,0.967225434,0.957741348,0.965460526,0.942453855,0.937365011,0.905510823,0.932330827
14,14,0.991273906,0.971084836,0.958105647,0.963267544,0.947882736,0.938205266,0.906629227,0.928723404
