,Feature Size,AUC,AUCPR,Accuracy,Specificity,Sensitivity,F1,MCC,Precision
1,1,0.694143908,0.501846316,0.593888889,0.536676337,0.710193766,0.535578145,0.23304739,0.429882713
2,2,0.790793934,0.61343785,0.724722222,0.712391214,0.749789385,0.642367376,0.437716461,0.561868687
3,3,0.809945322,0.637412525,0.73,0.690426855,0.810446504,0.664364641,0.471536327,0.562902282
4,4,0.824888775,0.668148812,0.749444444,0.717364277,0.814658804,0.681946403,0.501990538,0.58641601
5,5,0.825122345,0.662367912,0.751666667,0.723580605,0.808761584,0.682302772,0.502848996,0.590043024
6,6,0.827995019,0.665441143,0.756666667,0.731869043,0.807076664,0.686246418,0.509729852,0.596884735
7,7,0.823269841,0.659167715,0.754444444,0.73352673,0.796967144,0.681556196,0.502245911,0.595342983
8,8,0.821223568,0.665606024,0.753333333,0.732697886,0.795282224,0.680115274,0.499866002,0.59408433
9,9,0.819573561,0.663256417,0.75,0.730625777,0.789385004,0.67555876,0.492386364,0.59042218
10,10,0.81561543,0.658156745,0.755277778,0.743887277,0.778433024,0.677171125,0.496222046,0.59922179
11,11,0.815189836,0.654131772,0.75,0.739743058,0.770850885,0.67032967,0.48504225,0.593000648
12,12,0.814804393,0.64982483,0.756666667,0.74678823,0.776748104,0.677941176,0.497748011,0.601435095
13,13,0.814546033,0.653782602,0.753055556,0.745959387,0.767481045,0.672076724,0.488526275,0.597769029
14,14,0.811937654,0.654078629,0.750277778,0.744301699,0.762426285,0.668143226,0.482223989,0.594612352
