,Feature Size,AUC,AUCPR,Accuracy,Specificity,Sensitivity,F1,MCC,Precision
1,1,0.831520134,0.63528015,0.766848816,0.740131579,0.819761129,0.702325581,0.531644716,0.614320586
2,2,0.944239076,0.879533774,0.883060109,0.878289474,0.892508143,0.836641221,0.749687361,0.787356322
3,3,0.961683822,0.920148165,0.913296903,0.901315789,0.937024973,0.878818737,0.815531768,0.827420901
4,4,0.966148661,0.921838807,0.918761384,0.913377193,0.929424539,0.884754522,0.824517998,0.84418146
5,5,0.973808027,0.940983812,0.934790528,0.939692982,0.925081433,0.904938927,0.855818868,0.885654886
6,6,0.973779454,0.939304053,0.933697632,0.935855263,0.929424539,0.903907075,0.854103535,0.87975334
7,7,0.974425324,0.935281681,0.937340619,0.942982456,0.92616721,0.908413206,0.861186223,0.891327064
8,8,0.972455569,0.934613906,0.927868852,0.939144737,0.905537459,0.893890675,0.839427931,0.882539683
9,9,0.969914352,0.931934287,0.924954463,0.932565789,0.909880565,0.890541977,0.833921879,0.872008325
10,10,0.969607192,0.929659008,0.919854281,0.925986842,0.907709012,0.88372093,0.823310115,0.860968074
11,11,0.967680891,0.927218301,0.918032787,0.924890351,0.904451683,0.881015336,0.819201736,0.858762887
12,12,0.964672386,0.922825425,0.915846995,0.922149123,0.903365907,0.878100264,0.814663873,0.854209446
13,13,0.96390389,0.923856624,0.912204007,0.919407895,0.897937025,0.872823219,0.806601157,0.849075975
14,14,0.960949554,0.917999206,0.904918033,0.910635965,0.89359392,0.863135815,0.79150026,0.834685598
