"","probs","true_vals"
"1",0.124,2
"2",0.842,1
"3",0.004,2
"4",0.762,1
"5",0.088,2
"6",0.984,1
"7",0.078,2
"8",0.79,1
"9",0.772,1
"10",0.782,1
"11",0.974,1
"12",0.944,1
"13",0.844,1
"14",0.836,1
"15",0.776,1
"16",0.754,1
"17",0.16,2
"18",0.922,1
"19",0.966,1
"20",0.946,1
"21",0.868,1
"22",0.24,2
"23",0.978,1
"24",0.992,1
"25",0.08,2
"26",0.872,1
"27",0.942,1
"28",0.892,1
"29",0.9,1
"30",0.852,1
"31",0.008,2
"32",0.784,1
"33",0.128,2
"34",0.244,2
"35",0.866,1
"36",0.948,1
"37",0.978,1
"38",0.082,2
"39",0.798,1
"40",0.866,1
"41",0.15,2
"42",0.76,1
"43",0.238,2
"44",0.03,2
"45",0.894,1
"46",0.01,2
"47",0.054,2
"48",0.906,1
"49",0.836,1
"50",0.204,2
"51",0.192,2
"52",0.87,1
"53",0.814,1
"54",0.962,1
"55",0.864,1
"56",0.776,1
"57",0.898,1
"58",0.866,1
"59",0.94,1
"60",0.054,2
"61",0.782,1
"62",0.958,1
"63",0.228,2
"64",0.86,1
"65",0.834,1
"66",0.766,1
"67",0.166,2
"68",0.098,2
"69",0.888,1
"70",0.884,1
"71",0.884,1
"72",0.042,2
"73",0.086,2
"74",0.992,1
"75",0.828,1
"76",1,1
"77",0.108,2
"78",0.158,2
"79",0.934,1
"80",0.974,1
"81",0.168,2
"82",0.03,2
"83",0.974,1
"84",0.88,1
"85",0.818,1
"86",0.956,1
"87",0.87,1
"88",0.904,1
"89",0.982,1
"90",0.944,1
"91",0,2
"92",0.952,1
"93",0.822,1
"94",0.154,2
"95",0.806,1
"96",0.236,2
"97",0.038,2
"98",0.884,1
"99",0.918,1
"100",0.792,1
"101",0.95,1
"102",0.944,1
"103",0.058,2
"104",0.818,1
"105",0.932,1
"106",0.028,2
"107",0.06,2
"108",0.844,1
"109",0.99,1
"110",0.052,2
"111",0.178,2
"112",0.772,1
"113",0.218,2
"114",0.12,2
"115",0.914,1
"116",0.816,1
"117",0.132,2
"118",0.966,1
"119",0.838,1
"120",0.874,1
"121",0.992,1
"122",0.81,1
"123",0.066,2
"124",0.806,1
"125",0.054,2
"126",0.852,1
"127",0.21,2
"128",0.004,2
"129",0.892,1
"130",0.156,2
"131",0.122,2
"132",0.872,1
"133",0.81,1
"134",0.752,1
"135",0.116,2
"136",0.166,2
"137",0.792,1
"138",0.99,1
"139",0.984,1
"140",0.002,2
"141",0.094,2
"142",0.858,1
"143",0.852,1
"144",0.796,1
"145",0.908,1
"146",0.972,1
"147",0.042,2
"148",0,2
"149",0.982,1
"150",0.832,1
"151",0.012,2
"152",0.784,1
"153",0.81,1
"154",0.758,1
"155",0.758,1
"156",0.886,1
"157",0.858,1
"158",0.136,2
"159",0.81,1
"160",0.828,1
"161",0.854,1
"162",0.218,2
"163",0.066,2
"164",0.006,2
"165",0.774,1
"166",0.9,1
"167",0.978,1
"168",0.98,1
"169",0.87,1
"170",0.214,2
"171",0.92,1
"172",0.976,1
"173",0.804,1
"174",0.804,1
"175",0.784,1
"176",0.228,2
"177",0.852,1
"178",0.246,2
"179",0.878,1
"180",0.96,1
"181",0.82,1
"182",0.136,2
"183",0.838,1
"184",0.146,2
"185",0,2
"186",0.984,1
"187",0.13,2
"188",0.816,1
"189",0.916,1
"190",0.962,1
"191",0.788,1
"192",0.768,1
"193",0.946,1
"194",0.092,2
"195",0.966,1
"196",0.772,1
"197",0.958,1
"198",0.812,1
"199",0.804,1
"200",0.93,1
"201",0.756,1
"202",0.09,2
"203",0.078,2
"204",0.21,2
"205",0.894,1
"206",0.032,2
"207",0.89,1
"208",0.916,1
"209",0.14,2
"210",0.938,1
"211",0.918,1
"212",0.13,2
"213",0.966,1
"214",0.056,2
"215",0.862,1
"216",0.964,1
"217",0.89,1
"218",0.912,1
"219",0.008,2
"220",0.116,2
"221",0.888,1
"222",0.228,2
"223",0.908,1
"224",0.874,1
"225",0.764,1
"226",0.994,1
"227",0.23,2
"228",0.926,1
"229",0.968,1
"230",0.03,2
"231",0.092,2
"232",0.934,1
"233",0.982,1
"234",0.852,1
"235",0.022,2
"236",0.77,1
"237",0.004,2
"238",0,2
"239",0.932,1
"240",0.796,1
"241",0.842,1
"242",0.844,1
"243",0.234,2
"244",0.064,2
"245",0.172,2
"246",0.2,2
"247",0.93,1
"248",0.218,2
"249",0.878,1
"250",0.844,1
"251",0.992,1
"252",0.196,2
"253",0.126,2
"254",0.048,2
"255",0.044,2
"256",0.762,1
"257",0.892,1
"258",0.834,1
"259",0.184,2
"260",0.988,1
"261",0.104,2
"262",0.86,1
"263",0.076,2
"264",0.984,1
"265",0.756,1
"266",0.978,1
"267",0.986,1
"268",0.886,1
"269",0.04,2
"270",0.81,1
"271",0.96,1
"272",0.158,2
"273",0.814,1
"274",0.156,2
"275",0.964,1
"276",0.79,1
"277",0.912,1
"278",0.854,1
"279",0.792,1
"280",0.8,1
"281",0.902,1
"282",0.02,2
"283",0.832,1
"284",0.04,2
"285",0.798,1
"286",0.916,1
"287",0.896,1
"288",0.826,1
"289",0.828,1
"290",0.016,2
"291",0.002,2
"292",0.752,1
"293",0.018,2
"294",0.216,2
"295",0.048,2
"296",0.028,2
"297",0.134,2
"298",0.004,2
"299",0.802,1
"300",0.846,1
"301",0.89,1
"302",0.186,2
"303",0.024,2
"304",0.93,1
"305",0.932,1
"306",0.916,1
"307",0.834,1
"308",0.21,2
"309",0.048,2
"310",0.212,2
"311",0.116,2
"312",0.152,2
"313",0.934,1
"314",0.032,2
"315",0.778,1
"316",0.172,2
"317",0.964,1
"318",0.892,1
"319",0.918,1
"320",0.854,1
"321",0.002,2
"322",0.844,1
"323",0.904,1
"324",0.14,2
"325",0.762,1
"326",0.022,2
"327",0.164,2
"328",0.95,1
"329",0.138,2
"330",0.132,2
"331",0.044,2
"332",0.83,1
"333",0.048,2
"334",0.06,2
"335",0.786,1
"336",0.914,1
"337",0.866,1
"338",0.178,2
"339",0.906,1
"340",0.944,1
"341",0.84,1
"342",0.988,1
"343",0.012,2
"344",0.222,2
"345",0.878,1
"346",0.984,1
"347",0.924,1
"348",0.126,2
"349",0.972,1
"350",0.858,1
"351",0.826,1
"352",0.162,2
"353",0.222,2
"354",0.886,1
"355",0.984,1
"356",0.048,2
"357",0.166,2
"358",0.212,2
"359",0.898,1
"360",0.97,1
"361",0.86,1
"362",0.924,1
"363",0.086,2
"364",0.934,1
"365",0.91,1
"366",0.85,1
"367",0.962,1
"368",0.894,1
"369",0.108,2
"370",0.188,2
"371",0.23,2
"372",0.248,2
"373",0.95,1
"374",0.872,1
"375",0.148,2
"376",0.014,2
